X,Y,Location,Juris,Status,Lat,Long
-111.8569443,33.39703787,NB ALMA SCHOOL RD & FS EMERALD AV,Mesa,Active,33.397043,-111.856955
-111.8564002,33.41538074,NB ALMA SCHOOL RD & FS MAIN ST,Mesa,Active,33.415386,-111.856411
-111.8569873,33.39367466,NB ALMA SCHOOL RD & FS SOUTHERN AV,Mesa,Active,33.39368,-111.856998
-111.8562373,33.42252788,NB ALMA SCHOOL RD & FS UNIVERSITY DR,Mesa,Active,33.422533,-111.856248
-111.8312872,33.41786073,NB CENTER ST & FS 1ST ST,Mesa,Active,33.417866,-111.831298
-111.8313121,33.42595523,NB CENTER ST & FS 6TH ST,Mesa,Active,33.42596044,-111.8313228
-111.8311904,33.43002973,NB CENTER ST & FS 8TH ST,Mesa,Active,33.430035,-111.831201
-111.8312991,33.41542071,NB CENTER ST & FS MAIN ST,Mesa,Active,33.415426,-111.83131
-111.8313123,33.42269682,NB CENTER ST & FS UNIVERSITY DR,Mesa,Active,33.422702,-111.831323
-111.8396901,33.43966567,NB COUNTRY CLUB DR & FS 13TH PL,Mesa,Active,33.439671,-111.839701
-111.8398001,33.41793665,NB COUNTRY CLUB DR & FS 1ST ST,Mesa,Active,33.417942,-111.839811
-111.8397871,33.42635471,NB COUNTRY CLUB DR & FS 6TH ST,Mesa,Active,33.42636,-111.839798
-111.8397501,33.42999768,NB COUNTRY CLUB DR & FS 8TH ST,Mesa,Active,33.430003,-111.839761
-111.8397432,33.43268588,NB COUNTRY CLUB DR & FS 9TH PL,Mesa,Active,33.432691,-111.839754
-111.8397171,33.4354447,NB COUNTRY CLUB DR & FS BROWN RD,Mesa,Active,33.43545,-111.839728
-111.8396131,33.44853687,NB COUNTRY CLUB DR & FS JUNIPER ST,Mesa,Active,33.448542,-111.839624
-111.8397461,33.41562274,NB COUNTRY CLUB DR & FS MAIN ST,Mesa,Active,33.415628,-111.839757
-111.8396371,33.44439369,NB COUNTRY CLUB DR & FS MCLELLAN RD,Mesa,Active,33.444399,-111.839648
-111.8397581,33.42288787,NB COUNTRY CLUB DR & FS UNIVERSITY DR,Mesa,Active,33.422893,-111.839769
-111.8445982,33.42988681,NB DATE & FS 8TH ST,Mesa,Active,33.429892,-111.844609
-111.8741471,33.42603182,NB DOBSON RD & FS DECATUR ST,Mesa,Active,33.426037,-111.874158
-111.8742232,33.41582182,NB DOBSON RD & FS MAIN ST,Mesa,Active,33.415827,-111.874234
-111.8741741,33.42250481,NB DOBSON RD & FS UNIVERSITY DR,Mesa,Active,33.42251,-111.874185
-111.7878712,33.43040678,NB GILBERT RD & FS ADOBE ST,Mesa,Active,33.430412,-111.787882
-111.7879243,33.4272907,NB GILBERT RD & FS DECATUR ST,Mesa,Active,33.427296,-111.787935
-111.7878113,33.43362866,NB GILBERT RD & FS ENCANTO ST,Mesa,Active,33.433634,-111.787822
-111.7880434,33.41587591,NB GILBERT RD & FS MAIN ST,Mesa,Active,33.415881,-111.788054
-111.7878992,33.42339785,NB GILBERT RD & FS UNIVERSITY DR,Mesa,Active,33.423403,-111.78791
-111.7880051,33.41962386,NB GILBERT RD & MB MAIN ST,Mesa,Active,33.419629,-111.788016
-111.8225811,33.43218676,NB MESA DR & FS 10TH ST,Mesa,Active,33.432192,-111.822592
-111.8228093,33.41753167,NB MESA DR & FS 1ST ST,Mesa,Active,33.417537,-111.82282
-111.8226712,33.4261607,NB MESA DR & FS 6TH ST,Mesa,Active,33.426166,-111.822682
