Facility ID,Name,Full Address,Street Number,Street Direction,Street Name,Street Type,Basketball,Splashpad,Playground,Ramada,Horsehoes,Volleyball,Restroom,Barbecue Grills,Picnic Tables,Lake,Trails,Baseball,Bleachers,Dog Area,Soccer,Disc Golf,Tennis,Pickelball,Raquetball,Exercise Course,NumberofAcres,Type,Park Site Map,Location,City,Latitude,Longitude
PKBN14,Basin 405,211 E Juniper St,101,E,Juniper,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4,Basin,,"(33.4479574, -111.8264221)",Mesa,33.4479574,-111.8264221
PKBN43,Basin 308,2031 N Gilbert Rd,2621,N,Gilbert, Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.4518638, -111.787547)",Mesa,33.4518638,-111.787547
PKBN54,Basin 318,1110 N 35th St,2011,N,35th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.4614114, -112.0069755)",Mesa,33.4614114,-112.0069755
PKBN57,Basin 323,3443 E Caballero St,2409,E,Caballero, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.423718, -111.756712)",Mesa,33.423718,-111.756712
PKBN11,Basin 427,909 E 9th Dr,1441,E,9th,Dr,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.397338, -111.812143)",Mesa,33.397338,-111.812143
PKBN34,Basin 335,2420 N 24th St,2769,N,24th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.4746963, -112.0308)",Mesa,33.4746963,-112.0308
PKBN58,Basin 321,404 N Creston,544,N,Creston,on,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.4230077, -111.7618617)",Mesa,33.4230077,-111.7618617
PKBN21,Basin 408,407 E Jensen St,214,E,Jensen,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.447429, -111.822062)",Mesa,33.447429,-111.822062
PKBN48,Basin 312,2205 E Fountain St,812,E,Fountain, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.5,Basin,,"(33.4348699, -111.783289)",Mesa,33.4348699,-111.783289
PKBLD4,Broadway Recreation Center,59 E Broadway Rd,59,E,Broadway,Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.539961094,Recreation,,"(33.407402, -111829367)",Mesa,33.407402,-111829367
PKBN94,Basin 727,3005 N Sericin,2806,N,Sericin,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6,Basin,,"(33.4700878, -111.6866459)",Mesa,33.4700878,-111.6866459
PKBN36,Basin 333,2408 N Acacia,2510,N,Acacia,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6,Basin,,"(33.4593066, -111.7837414)",Mesa,33.4593066,-111.7837414
PKBN2,Basin 604,740 W Emerald Ave,755,W,Emerald,Ave,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6,Basin,,"(33.397115, -111.847637)",Mesa,33.397115,-111.847637
PKBN82,Basin 713,6313 E Gary St,6045,E,Gary, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6,Basin,,"(33.439524, -111.694855)",Mesa,33.439524,-111.694855
PKBLD9,Webster Recreation Center,202 N Sycamore St,202,N,Sycamore,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.682886574,Recreation,,"(33.418912, -111.8712)",Mesa,33.418912,-111.8712
PKBN122,Basin 108,2445 S Saranac,10045,S,Saranac,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,Basin,,"(33.3710924, -111.6855605)",Mesa,33.3710924,-111.6855605
PKBN19,Basin 402,153 W Indigo St,155,W,Indigo,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,Basin,,"(33.444552, -111.835156)",Mesa,33.444552,-111.835156
PKBN12,Basin 421,1817 E 1st St,1562,E,1st, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,Basin,,"(33.416929, -111.792063)",Mesa,33.416929,-111.792063
PKBN46,Basin 310,1713 N 24th St,2840,N,24th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,Basin,,"(33.447138, -111.779192)",Mesa,33.447138,-111.779192
PKBN26,Basin 414,1862 E Jensen St,2560,E,Jensen, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,Basin,,"(33.448407, -111.790007)",Mesa,33.448407,-111.790007
PKBN85,Basin 716,1831 N 64th St,6260,N,64th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.448952, -111.692424)",Mesa,33.448952,-111.692424
PKBN125,Basin 732,6202 E Hermosa Vista Dr,553,E,Hermosa Vista, Dr,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.4595432, -111.6967412)",Mesa,33.4595432,-111.6967412
PKBN47,Basin 311,2840 E Glencove St,2205,E,Glencove, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.4391611, -111.7696563)",Mesa,33.4391611,-111.7696563
PKBN28,Basin 413,2560 N Gilbert Rd,2421,N,Gilbert, Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.4626854, -111.7895125)",Mesa,33.4626854,-111.7895125
PKBN124,Basin 733,2935 N 64th St,6202,N,64th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.4690574, -111.6923068)",Mesa,33.4690574,-111.6923068
PKBN16,Basin 403,140 W Inglewood St,153,W,Inglewood,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.44761, -111.834985)",Mesa,33.44761,-111.834985
PKBN35,Basin 303,2425 N Rose,2430,N,Rose,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.459499, -111.781726)",Mesa,33.459499,-111.781726
PKBN13,Basin 420,1562 E 8th St,231,E,8th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8,Basin,,"(33.4298017, -111.7975314)",Mesa,33.4298017,-111.7975314
PKBN18,Basin 401,155 W McLellan Rd,2420,W,McLellan,Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.443795, -111.835091)",Mesa,33.443795,-111.835091
PKBN123,Basin 406,1715 N Pasadena,211,N,Pasadena,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.4467521, -111.8264461)",Mesa,33.4467521,-111.8264461
PKBN78,Basin 701,2016 N Maple,1834,N,Maple,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.452248, -111.746482)",Mesa,33.452248,-111.746482
PKBN62,Basin 326,3416 E Coralbell Ave,736,E,Coralbell,Ave,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.404195, -111.6283748)",Mesa,33.404195,-111.6283748
PKBN9,Basin 422,921 S Spur,1817,S,Spur,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.39807, -111.800393)",Mesa,33.39807,-111.800393
PKBN111,Basin 808,9934 E Quarterline Rd,8015,E,Quarterline, Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.9,Basin,,"(33.4261945, -111.6168388)",Mesa,33.4261945,-111.6168388
PKPK30,Pequeno,537 N Oakland,537,N,Oakland,,lighted,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,1,Park,http://www.mesaparks.com/home/showdocument?id=6282,"(33.425497, -111.737839)",Mesa,33.425497,-111.737839
PKPK59,Gateway,315 E Main,315,E,Main,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Park,,"(33.414672, -111.823239)",Mesa,33.414672,-111.823239
PKBN37,Basin 304,2400 E Menlo St,2235,E,Menlo, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Basin,,"(33.4604707, -111.7790533)",Mesa,33.4604707,-111.7790533
PKBN15,Basin 404,101 E Juniper St,140,E,Juniper,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,Basin,,"(33.447952, -111.829334)",Mesa,33.447952,-111.829334
PKPLS1,Rhodes Pool,1860 S Longmore,1860,S,Longmore,Ave,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1.001638721,Pool,,"(33.380196, -111.870831)",Mesa,33.380196,-111.870831
PKPK84,Sagebrush,1001 S Mesa Dr,1001,S,Mesa, Dr,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,1.01,Park,,"(33.396759, -111.822333)",Mesa,33.396759,-111.822333
